Code;Name;Type
11;Aceh;1
11.01;Kabupaten Aceh Selatan;2
11.01.01;Bakongan;4
11.01.01.2001;Keude Bakongan;6
11.01.01.2002;Ujong Mangki;6
11.01.01.2003;Ujong Padang;6
11.01.01.2004;Gampong Drien;6
11.01.01.2015;Darul Ikhsan;6
11.01.01.2016;Padang Beurahan;6
11.01.01.2017;Gampong Baro;6
11.01.02;Kluet Utara;4
11.01.02.2001;Fajar Harapan;6
11.01.02.2002;Krueng Batee;6
11.01.02.2003;Pasi Kuala Asahan;6
11.01.02.2004;Gunong Pulo;6
11.01.02.2005;Pulo Ie I;6
11.01.02.2006;Jambo Manyang;6
11.01.02.2007;Simpang Empat;6
11.01.02.2008;Limau Purut;6
11.01.02.2009;Pulo Kambing;6
11.01.02.2010;Kampung Paya;6
11.01.02.2011;Krueng Batu;6
11.01.02.2012;Krueng Kluet;6
11.01.02.2013;Alur Mas;6
11.01.02.2014;Kampung Tinggi;6
11.01.02.2015;Ruak;6
11.01.02.2016;Simpang Lhee;6
11.01.02.2017;Suaq Geuringgeng;6
11.01.02.2018;Pasi Kuala Ba'u;6
11.01.02.2019;Kedai Padang;6
11.01.02.2020;Kotafajar;6
11.01.02.2021;Gunung Pudung;6
11.01.03;Kluet Selatan;4
11.01.03.2001;Suaq Bakung;6
11.01.03.2002;Rantau Binuang;6
11.01.03.2003;Barat Daya;6
11.01.03.2004;Sialang;6
11.01.03.2005;Kapeh;6
11.01.03.2006;Pulo Ie;6
11.01.03.2007;Kedai Runding;6
11.01.03.2008;Kedai Kandang;6
11.01.03.2009;Gampong Luar;6
11.01.03.2010;Ujung;6
11.01.03.2011;Jua;6
11.01.03.2012;Pasi Meurapat;6
11.01.03.2013;Ujung Pasir;6
11.01.03.2014;Geulumbuk;6
11.01.03.2015;Pasie Lembang;6
11.01.03.2016;Ujung Padang;6
11.01.03.2017;Indra Damai;6
11.01.04;Labuhanhaji;4
11.01.04.2001;Bakau Hulu;6
11.01.04.2002;Padang Bakau;6
11.01.04.2003;Manggis Harapan;6
11.01.04.2004;Pasar Lama;6
11.01.04.2005;Apha;6
11.01.04.2006;Ujung Batu;6
11.01.04.2007;Pawoh;6
11.01.04.2008;Dalam;6
11.01.04.2009;Kota Palak;6
11.01.04.2010;Cacang;6
11.01.04.2011;Tengah Pisang;6
11.01.04.2012;Pisang;6
11.01.04.2013;Hulu Pisang;6
11.01.04.2014;Tengah Baru;6
11.01.04.2015;Lembah Baru;6
11.01.04.2016;Padang Baru;6
11.01.05;Meukek;4
11.01.05.2001;Kuta Buloh II;6
11.01.05.2002;Kuta Buloh I;6
11.01.05.2003;Ie Dingen;6
11.01.05.2004;Drien Jalo;6
11.01.05.2005;Jambo Papeun;6
11.01.05.2006;Buket Meuh;6
11.01.05.2007;Blang Kuala;6
11.01.05.2008;Rot Teungoh;6
11.01.05.2009;Alue Baro;6
11.01.05.2010;Ladang Tuha;6
11.01.05.2011;Lhok Mamplam;6
11.01.05.2012;Arun Tunggai;6
11.01.05.2013;Blang Teungoh;6
11.01.05.2014;Blang Bladeh;6
11.01.05.2015;Ie Buboh;6
11.01.05.2016;Keude Meukek;6
11.01.05.2017;Kuta Baro;6
11.01.05.2018;Tanjung Harapan;6
11.01.05.2019;Labuhan Tarok;6
11.01.05.2020;Lhok Aman;6
11.01.05.2021;Alue Meutuah;6
11.01.05.2022;Ladang Baro;6
11.01.05.2023;Labuhan Tarok II;6
11.01.06;Samadua;4
11.01.06.2001;Dalam;6
11.01.06.2002;Subarang;6
11.01.06.2003;Kuta Baru;6
11.01.06.2004;Gunung Ketek;6
11.01.06.2005;Ladang Panton Luas;6
11.01.06.2006;Madat;6
11.01.06.2007;Alur Seumerah;6
11.01.06.2008;Tengah;6
11.01.06.2009;Gunung Cut;6
11.01.06.2010;Alur Pinang;6
11.01.06.2011;Kuta Blang;6
11.01.06.2012;Batee Tunggai;6
11.01.06.2013;Ujung Tanah;6
11.01.06.2014;Ujung Kampung;6
11.01.06.2015;Jilatang;6
11.01.06.2016;Luar;6
11.01.06.2017;Lubuk Layu;6
11.01.06.2018;Suaq Hulu;6
11.01.06.2019;Tampang;6
11.01.06.2020;Payonan Gadang;6
11.01.06.2021;Gadang;6
11.01.06.2022;Baru;6
11.01.06.2023;Ladang Kasik Putih;6
11.01.06.2024;Air Sialang Hilir.;6
11.01.06.2025;Air Sialang Hulu;6
11.01.06.2026;Air Sialang Tengah;6
11.01.06.2027;Balai;6
11.01.06.2028;Arafah;6
11.01.07;Sawang;4
11.01.07.2001;Sikulat;6
11.01.07.2002;Sawang I;6
11.01.07.2003;Meuligo;6
11.01.07.2004;Lhok Pawoh;6
11.01.07.2005;Sawang II;6
11.01.07.2006;Ujung Karang;6
11.01.07.2007;Trieng Meuduro Baroh;6
11.01.07.2008;Trieng Meuduro Tunong;6
11.01.07.2009;Panton Luas;6
11.01.07.2010;Simpang Tiga;6
11.01.07.2011;Kuta Baro;6
11.01.07.2012;Blang Geulinggang;6
11.01.07.2013;Mutiara;6
11.01.07.2014;Ujung Padang;6
11.01.07.2015;Sawang Ba'u;6
11.01.08;Tapaktuan;4
11.01.08.2001;Lhok Keutapang;6
11.01.08.2002;Hilir;6
11.01.08.2003;Padang;6
11.01.08.2004;Hulu;6
11.01.08.2005;Jambo Apha;6
11.01.08.2006;Tepi Air;6
11.01.08.2007;Pasar;6
11.01.08.2008;Lhok Bengkuang;6
11.01.08.2009;Panton Luas;6
11.01.08.2010;Gunung Kerambil;6
11.01.08.2011;Air Berudang;6
11.01.08.2012;Batu Itam;6
11.01.08.2013;Panjupian;6
11.01.08.2014;Lhok Rukam;6
11.01.08.2015;Air Pinang;6
11.01.08.2016;Lhok Bengkuang Timur;6
11.01.09;Trumon;4
11.01.09.2001;Keude Trumon;6
11.01.09.2002;Ujong Tanoh;6
11.01.09.2003;Sigleng;6
11.01.09.2004;Ie Meudama;6
11.01.09.2005;Teupin Tinggi;6
11.01.09.2006;Kuta Baro;6
11.01.09.2007;Panton Bilie;6
11.01.09.2012;Kuta Padang;6
11.01.09.2013;Raket;6
11.01.09.2014;Gampong Teungoh;6
11.01.09.2015;Seuneubok Jaya;6
11.01.09.2016;Padang Harapan;6
11.01.10;Pasie Raja;4
11.01.10.2001;Ladang Teungoh;6
11.01.10.2002;Pucok Krueng;6
11.01.10.2003;Silolo;6
11.01.10.2004;Kampung Baru;6
11.01.10.2005;Panton Bili;6
11.01.10.2006;Paya Ateuk;6
11.01.10.2007;Ladang Tuha;6
11.01.10.2008;Mata Ie;6
11.01.10.2009;Ujong Batee;6
11.01.10.2010;Lhok Sialang Cut;6
11.01.10.2011;Seuneubok;6
11.01.10.2012;Ie Mirah;6
11.01.10.2013;Pasie Rasian;6
11.01.10.2014;Ujung Padang Rasian;6
11.01.10.2015;Krueng Kalee;6
11.01.10.2016;Lhok Sialang Rayeuk;6
11.01.10.2017;Gampong Baro;6
11.01.10.2018;Teupin Gajah;6
11.01.10.2019;Ujung Padang Asahan;6
11.01.10.2020;Pulo Ie II;6
11.01.10.2021;Pante Raja;6
11.01.11;Labuhanhaji Timur;4
11.01.11.2001;Tengah Peulumat;6
11.01.11.2002;Paya Peulumat;6
11.01.11.2003;Padang Peulumat;6
11.01.11.2004;Aur Peulumat;6
11.01.11.2005;Limau Saring;6
11.01.11.2006;Beutong;6
11.01.11.2007;Peuneulop;6
